Date,AveragePrice,Volume,type,year,region
2016-04-17,0.89,512348.02,conventional,2016,Atlanta
2016-04-17,1.22,86433.63,conventional,2016,Albany
2016-04-24,0.79,654018.81,conventional,2016,Atlanta
2016-04-24,1.18,102490.2,conventional,2016,Albany
2016-05-01,0.77,735635.49,conventional,2016,Atlanta
2016-05-01,1.03,173781.78,conventional,2016,Albany
2016-05-08,1.27,120194.49,conventional,2016,Albany
2016-05-08,0.81,643699.77,conventional,2016,Atlanta
2016-05-15,1.36,96924.19,conventional,2016,Albany
2016-05-15,0.68,755306.53,conventional,2016,Atlanta
2016-05-22,1.34,98863.64,conventional,2016,Albany
2016-05-22,0.79,585351.77,conventional,2016,Atlanta
2016-05-29,1.49,127812.25,conventional,2016,Albany
2016-05-29,0.78,691344.07,conventional,2016,Atlanta
2016-06-05,1.47,115857.12,conventional,2016,Albany
2016-06-05,0.75,691201.38,conventional,2016,Atlanta
2016-06-12,0.78,608386.28,conventional,2016,Atlanta
2016-06-12,1.38,111394.5,conventional,2016,Albany
2016-06-19,1.42,112817.51,conventional,2016,Albany
2016-06-19,0.78,692767.07,conventional,2016,Atlanta
2016-06-26,0.85,606856.8,conventional,2016,Atlanta
2016-06-26,1.5,133086.66,conventional,2016,Albany
2016-07-03,0.77,789398.22,conventional,2016,Atlanta
2016-07-03,1.42,115907.61,conventional,2016,Albany
2016-07-10,0.92,560865.26,conventional,2016,Atlanta
2016-07-10,1.11,131630.13,conventional,2016,Albany
2016-07-17,1.31,89228.02,conventional,2016,Albany
2016-07-17,1.01,474063.61,conventional,2016,Atlanta
2016-07-24,1.46,98321.14,conventional,2016,Albany
2016-07-24,1.0,495686.56,conventional,2016,Atlanta
2016-07-31,1.61,125586.57,conventional,2016,Albany
2016-07-31,0.98,537633.39,conventional,2016,Atlanta
2016-08-07,1.48,99683.11,conventional,2016,Albany
2016-08-07,1.04,508354.34,conventional,2016,Atlanta
2016-08-14,1.2,110528.09,conventional,2016,Albany
2016-08-14,0.87,666493.32,conventional,2016,Atlanta
2016-08-21,1.43,94882.79,conventional,2016,Albany
2016-08-21,0.94,549139.07,conventional,2016,Atlanta
2016-08-28,1.18,145323.22,conventional,2016,Albany
2016-08-28,0.95,539642.66,conventional,2016,Atlanta
2016-09-04,1.44,95456.26,conventional,2016,Albany
2016-09-04,0.89,614657.03,conventional,2016,Atlanta
2016-09-11,1.37,81473.15,conventional,2016,Albany
2016-09-11,0.9,597759.18,conventional,2016,Atlanta
2016-09-18,1.39,79513.63,conventional,2016,Albany
2016-09-18,1.01,527700.95,conventional,2016,Atlanta
2016-09-25,1.26,435756.8,conventional,2016,Atlanta
2016-09-25,1.62,96853.15,conventional,2016,Albany
2016-10-02,1.26,440044.4,conventional,2016,Atlanta
2016-10-02,1.51,75480.26,conventional,2016,Albany
2016-10-09,1.13,101087.84,conventional,2016,Albany
2016-10-09,1.23,452109.18,conventional,2016,Atlanta
2016-10-16,1.4,69060.9,conventional,2016,Albany
2016-10-16,1.16,459564.78,conventional,2016,Atlanta
2016-10-23,1.19,92080.35,conventional,2016,Albany
2016-10-23,1.23,422281.05,conventional,2016,Atlanta
2016-10-30,1.46,58375.1,conventional,2016,Albany
2016-10-30,1.26,408314.87,conventional,2016,Atlanta
2016-11-06,1.63,57178.2,conventional,2016,Albany
2016-11-06,1.29,393826.35,conventional,2016,Atlanta
2016-11-13,1.25,408260.87,conventional,2016,Atlanta
2016-11-13,1.62,63608.01,conventional,2016,Albany
2016-11-20,1.14,448936.04,conventional,2016,Atlanta
2016-11-20,1.56,70089.51,conventional,2016,Albany
2016-11-27,1.52,58171.89,conventional,2016,Albany
2016-11-27,1.22,372144.31,conventional,2016,Atlanta
2016-12-04,1.48,113031.96,conventional,2016,Albany
