Date,AveragePrice,Volume,type,year,region
2015-01-04,1.0,435021.49,conventional,2015,Atlanta
2015-01-04,1.22,40873.28,conventional,2015,Albany
2015-01-11,1.24,41195.08,conventional,2015,Albany
2015-01-11,1.11,397542.72,conventional,2015,Atlanta
2015-01-18,1.17,44511.28,conventional,2015,Albany
2015-01-18,1.11,431490.99,conventional,2015,Atlanta
2015-01-25,1.06,45147.5,conventional,2015,Albany
2015-01-25,1.1,449332.85,conventional,2015,Atlanta
2015-02-01,0.99,70873.6,conventional,2015,Albany
2015-02-01,0.96,636771.37,conventional,2015,Atlanta
2015-02-08,0.99,51253.97,conventional,2015,Albany
2015-02-08,1.03,433883.91,conventional,2015,Atlanta
2015-02-15,1.06,427391.28,conventional,2015,Atlanta
2015-02-15,1.06,41567.62,conventional,2015,Albany
2015-02-22,1.1,431308.56,conventional,2015,Atlanta
2015-02-22,1.07,45675.05,conventional,2015,Albany
2015-03-01,0.99,512532.44,conventional,2015,Atlanta
2015-03-01,0.99,55595.74,conventional,2015,Albany
2015-03-08,1.07,40507.36,conventional,2015,Albany
2015-03-08,1.1,420826.32,conventional,2015,Atlanta
2015-03-15,1.11,43045.79,conventional,2015,Albany
2015-03-15,1.12,399566.22,conventional,2015,Atlanta
2015-03-22,1.0,479590.62,conventional,2015,Atlanta
2015-03-22,1.12,46346.85,conventional,2015,Albany
2015-03-29,1.11,365722.14,conventional,2015,Atlanta
2015-03-29,1.02,67799.08,conventional,2015,Albany
2015-04-05,1.16,47362.13,conventional,2015,Albany
2015-04-05,1.04,383139.49,conventional,2015,Atlanta
2015-04-12,0.99,451101.89,conventional,2015,Atlanta
2015-04-12,1.13,48364.29,conventional,2015,Albany
2015-04-19,1.12,430966.34,conventional,2015,Atlanta
2015-04-19,1.19,49064.73,conventional,2015,Albany
2015-04-26,1.22,49585.46,conventional,2015,Albany
2015-04-26,1.12,448596.76,conventional,2015,Atlanta
2015-05-03,1.2,59197.67,conventional,2015,Albany
2015-05-03,1.0,634213.1,conventional,2015,Atlanta
2015-05-10,1.1,480071.18,conventional,2015,Atlanta
2015-05-10,1.26,120427.91,conventional,2015,Albany
2015-05-17,1.43,109857.47,conventional,2015,Albany
2015-05-17,1.11,451250.7,conventional,2015,Atlanta
2015-05-24,1.19,101470.91,conventional,2015,Albany
2015-05-24,0.96,623212.04,conventional,2015,Atlanta
2015-05-31,1.1,454702.0,conventional,2015,Atlanta
2015-05-31,1.23,95123.62,conventional,2015,Albany
2015-06-07,1.07,122743.06,conventional,2015,Albany
2015-06-07,0.99,551009.05,conventional,2015,Atlanta
2015-06-14,1.1,465804.78,conventional,2015,Atlanta
2015-06-14,1.32,89631.3,conventional,2015,Albany
2015-06-21,1.27,104849.39,conventional,2015,Albany
2015-06-21,0.99,554763.76,conventional,2015,Atlanta
2015-06-28,1.37,89534.81,conventional,2015,Albany
2015-06-28,1.13,435210.71,conventional,2015,Atlanta
2015-07-05,1.35,109252.12,conventional,2015,Albany
2015-07-05,1.01,562462.33,conventional,2015,Atlanta
2015-07-12,1.05,124055.31,conventional,2015,Albany
2015-07-12,1.14,407204.88,conventional,2015,Atlanta
2015-07-19,1.26,96617.0,conventional,2015,Albany
2015-07-19,0.97,557212.99,conventional,2015,Atlanta
2015-07-26,1.11,106757.1,conventional,2015,Albany
2015-07-26,1.08,437377.75,conventional,2015,Atlanta
2015-08-02,1.45,75133.1,conventional,2015,Albany
2015-08-02,1.15,405898.44,conventional,2015,Atlanta
2015-08-09,1.12,111140.93,conventional,2015,Albany
2015-08-09,1.01,503791.72,conventional,2015,Atlanta
2015-08-16,1.33,80043.78,conventional,2015,Albany
2015-08-16,1.09,465213.81,conventional,2015,Atlanta
2015-08-23,1.34,79992.09,conventional,2015,Albany
