Date,AveragePrice,Volume,type,year,region
2015-08-23,1.12,379054.29,conventional,2015,Atlanta
2015-08-30,1.07,105693.84,conventional,2015,Albany
2015-08-30,1.15,382972.72,conventional,2015,Atlanta
2015-09-06,0.97,472136.53,conventional,2015,Atlanta
2015-09-06,1.11,99172.96,conventional,2015,Albany
2015-09-13,1.28,76111.27,conventional,2015,Albany
2015-09-13,1.07,417232.18,conventional,2015,Atlanta
2015-09-20,0.93,516432.6,conventional,2015,Atlanta
2015-09-20,1.33,69759.01,conventional,2015,Albany
2015-09-27,1.07,370321.17,conventional,2015,Atlanta
2015-09-27,0.99,106803.39,conventional,2015,Albany
2015-10-04,0.96,418682.26,conventional,2015,Atlanta
2015-10-04,1.31,61007.1,conventional,2015,Albany
2015-10-11,0.95,433874.46,conventional,2015,Atlanta
2015-10-11,1.28,64489.17,conventional,2015,Albany
2015-10-18,1.09,349072.48,conventional,2015,Atlanta
2015-10-18,1.12,84843.44,conventional,2015,Albany
2015-10-25,1.07,74338.76,conventional,2015,Albany
2015-10-25,1.09,358478.08,conventional,2015,Atlanta
2015-11-01,0.99,419088.74,conventional,2015,Atlanta
2015-11-01,1.02,99811.42,conventional,2015,Albany
2015-11-08,1.12,334041.6,conventional,2015,Atlanta
2015-11-08,0.98,109428.33,conventional,2015,Albany
2015-11-15,0.99,83453.76,conventional,2015,Albany
2015-11-15,1.13,339860.68,conventional,2015,Atlanta
2015-11-22,1.0,356414.57,conventional,2015,Atlanta
2015-11-22,1.26,55979.78,conventional,2015,Albany
2015-11-29,0.99,333280.79,conventional,2015,Atlanta
2015-11-29,1.28,51039.6,conventional,2015,Albany
2015-12-06,1.07,357636.82,conventional,2015,Atlanta
2015-12-06,1.08,78992.15,conventional,2015,Albany
2015-12-13,0.96,417772.47,conventional,2015,Atlanta
2015-12-13,0.93,118220.22,conventional,2015,Albany
2015-12-20,1.35,54876.98,conventional,2015,Albany
2015-12-20,1.08,331377.53,conventional,2015,Atlanta
2015-12-27,1.33,64236.62,conventional,2015,Albany
2015-12-27,0.99,386100.49,conventional,2015,Atlanta
2016-01-03,1.05,449263.47,conventional,2016,Atlanta
2016-01-03,1.03,149038.15,conventional,2016,Albany
2016-01-10,0.93,558348.8,conventional,2016,Atlanta
2016-01-10,1.28,79121.77,conventional,2016,Albany
2016-01-17,1.04,445089.93,conventional,2016,Atlanta
2016-01-17,1.26,119972.41,conventional,2016,Albany
2016-01-24,1.22,96089.13,conventional,2016,Albany
2016-01-24,0.92,528776.51,conventional,2016,Atlanta
2016-01-31,1.16,102038.32,conventional,2016,Albany
2016-01-31,1.04,437490.64,conventional,2016,Atlanta
2016-02-07,0.76,722211.0,conventional,2016,Atlanta
2016-02-07,1.07,169614.01,conventional,2016,Albany
2016-02-14,1.13,98008.16,conventional,2016,Albany
2016-02-14,0.97,481484.29,conventional,2016,Atlanta
2016-02-21,1.04,417205.77,conventional,2016,Atlanta
2016-02-21,1.28,99817.47,conventional,2016,Albany
2016-02-28,1.26,87822.43,conventional,2016,Albany
2016-02-28,0.9,555470.58,conventional,2016,Atlanta
2016-03-06,1.27,90633.66,conventional,2016,Albany
2016-03-06,1.03,458837.18,conventional,2016,Atlanta
2016-03-13,0.9,588656.86,conventional,2016,Atlanta
2016-03-13,1.18,108264.9,conventional,2016,Albany
2016-03-20,1.32,110401.88,conventional,2016,Albany
2016-03-20,0.98,496190.99,conventional,2016,Atlanta
2016-03-27,0.98,458635.34,conventional,2016,Atlanta
2016-03-27,1.49,92529.27,conventional,2016,Albany
2016-04-03,1.03,423485.95,conventional,2016,Atlanta
2016-04-03,0.85,81694.23,conventional,2016,Albany
2016-04-10,1.46,70253.3,conventional,2016,Albany
2016-04-10,0.83,590001.82,conventional,2016,Atlanta
